Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2025-09-28 23:07:55,false,"Fullerton Running","8.56","1,035","01:14:14","141","150","3.1","160","176","8:40","5:45","26","46","1.16","8.4","9.7","279","8:42","358","0.0","358","577","11,904","No","00:04:45.9","9","01:14:10","01:16:04","207","249"
Running,2025-09-27 10:21:20,false,"Fullerton Running","16.01","1,944","02:10:28","153","177","4.1","164","215","8:09","6:36","230","203","1.20","8.1","9.6","267","8:11","385","0.0","382","494","21,386","No","00:00:03.1","17","02:10:19","02:13:38","209","287"
Treadmill Running,2025-09-26 09:25:42,false,"Treadmill Running","5.00","539","00:52:20","129","140","2.0","159","165","10:28","9:02","--","--","0.95","9.3","8.8","295","--","286","0.0","285","347","8,338","No","00:08:58.6","5","00:52:04","00:54:37","--","--"
Running,2025-09-25 11:48:47,false,"Fullerton Running","8.01","887","01:01:50","144","178","3.2","166","176","7:43","6:48","98","79","1.25","7.8","9.6","259","7:44","408","0.0","403","487","10,314","No","00:00:02.5","9","01:01:42","01:03:08","207","245"
Treadmill Running,2025-09-24 12:54:49,false,"Treadmill Running","7.00","727","01:14:28","127","151","2.1","160","169","10:38","9:57","--","--","0.85","9.6","8.2","295","--","261","0.0","257","318","11,922","No","00:02:58.8","7","01:13:43","01:16:52","--","--"
Running,2025-09-23 19:53:50,false,"Fullerton Running","8.56","1,033","01:04:12","161","183","4.0","167","183","7:30","5:21","39","66","1.28","7.7","9.7","256","7:32","428","0.0","413","625","10,686","No","00:00:02.6","17","01:04:08","01:06:11","191","250"
Running,2025-09-22 21:19:42,false,"Fullerton Running","7.02","862","00:57:43","150","165","3.2","164","179","8:14","5:47","92","105","1.19","8.1","9.6","269","8:15","378","0.0","377","557","9,438","No","00:00:04.4","8","00:57:40","00:57:48","210","260"
Running,2025-09-20 19:18:33,false,"Fullerton Running","20.03","2,482","02:55:27","152","174","4.3","162","177","8:46","6:28","266","285","1.14","8.4","9.5","277","8:47","361","0.0","359","526","28,328","No","00:00:09.9","21","02:55:15","02:57:27","209","255"
Treadmill Running,2025-09-19 18:36:07,false,"Treadmill Running","4.00","430","00:49:56","120","129","1.3","154","161","12:29","9:59","--","--","0.97","9.3","8.9","299","--","286","0.0","280","311","7,676","No","00:06:10.7","5","00:49:02","00:51:45","--","--"
Running,2025-09-18 21:36:23,false,"Fullerton Running","5.06","631","00:44:22","145","160","2.8","162","170","8:46","6:49","56","69","1.13","8.4","9.5","276","8:49","354","0.0","353","510","7,172","No","00:00:22.6","6","00:44:16","00:44:58","212","255"
Running,2025-09-17 17:41:47,false,"Fullerton Running","6.10","735","00:50:43","147","191","3.4","144","218","8:19","5:31","92","115","1.32","7.4","9.5","246","8:19","438","0.0","366","602","7,324","No","00:00:01.7","15","00:43:36","00:52:19","182","228"
Running,2025-09-16 17:39:32,false,"Fullerton Running","5.01","592","00:32:56","174","190","4.0","173","177","6:35","6:12","56","75","1.41","6.9","9.8","235","6:36","485","0.0","482","549","5,690","No","00:00:02.4","6","00:32:54","00:32:56","204","228"
Treadmill Running,2025-09-15 16:32:41,false,"Treadmill Running","5.00","575","00:50:36","134","153","2.2","159","167","10:07","6:42","--","--","1.22","8.0","9.8","270","--","373","0.0","365","485","8,046","No","00:00:48.2","7","00:49:56","00:51:50","--","--"
Running,2025-09-14 11:17:28,false,"Fullerton Running","13.15","1,629","01:44:43","161","181","4.7","166","235","7:58","6:48","108","82","1.21","7.9","9.5","261","7:58","395","0.0","389","480","17,412","No","00:01:18.4","14","01:44:31","01:48:20","224","288"
Running,2025-09-13 19:23:52,false,"Fullerton Running","7.01","840","00:51:23","161","186","3.9","167","179","7:20","5:48","75","102","1.31","7.5","9.8","253","7:22","429","0.0","421","573","8,598","No","00:00:03.6","8","00:51:17","00:52:05","196","255"
Treadmill Running,2025-09-12 19:25:24,false,"Treadmill Running","10.00","978","01:26:10","142","175","3.2","155","174","8:37","6:02","--","--","1.18","8.1","9.4","272","--","356","0.0","336","525","13,426","No","00:05:08.4","10","01:22:50","01:36:51","--","--"
Running,2025-09-10 20:17:49,false,"Fullerton Running","10.00","1,270","01:32:52","147","162","3.3","160","167","9:17","7:51","43","56","1.08","8.7","9.4","284","9:19","332","0.0","332","406","14,882","No","00:00:02.9","11","01:32:44","01:34:10","220","259"
Running,2025-09-09 20:26:04,false,"Fullerton Running","10.01","1,233","01:13:22","167","179","4.4","168","215","7:20","5:05","125","121","1.31","7.5","9.8","252","7:21","428","0.0","426","677","12,302","No","00:00:04.9","11","01:13:19","01:14:43","227","270"
Running,2025-09-07 20:14:34,false,"Fullerton Running","17.18","2,076","02:26:33","150","175","3.9","162","175","8:32","6:57","217","220","1.17","8.3","9.6","275","8:33","366","0.0","363","449","23,660","No","00:01:27.5","18","02:26:22","02:29:22","218","257"
Treadmill Running,2025-09-06 21:47:21,false,"Treadmill Running","4.00","435","00:36:30","139","178","2.3","134","225","9:08","6:49","--","--","1.18","7.6","8.4","251","--","354","0.0","275","452","4,898","No","00:04:15.6","4","00:29:08","00:38:23","--","--"
